,Unnamed: 0,years,patent_abstract,patent_id
211,168194,1980s,"A slide slidably mounted on an arm secured to an indexing plate has a slider seat for supporting thereon a slider body with its pull tab inserted in a slot defined between the slide and the arm. The slider pull tab is immovably held in the slot by a ball mounted in the arm and spring-biased into an aperture in the pull tab. Upon holding of the pull tab, the slide is slightly moved under the resiliency of a spring to lift the slider body until a locking pawl to which the pull tab is connected is withdrawn out of a slider guide channel. A block mounted on a fixed frame contains a spring-biased presser which, upon lateral alignment with the spring-biased ball, forces the ball into locking engagement with the pull tab in the slot, thereby locking the slider for application to a pair of slide fastener stringers.",4329778
235,149079,1980s,"A composition comprising a granular inorganic oxidic material other than glass powder and 1 to 30 weight percent, based on the weight of said material, of glass powder, especially a composition additionally containing a hardenable thermo- or cold-setting phenolic resin, which composition does not disintegrate at high temperatures and retains compressive strength.",4195458
236,560025,1980s,"A bender acoustic transducer has a flat, piezoelectric element affixed to a flat, elongated inert element. The ends of the inert element are hinged on a supporting rectangular frame which has a rectangular opening. Two sides of the elements are exposed so that when a voltage is applied, a dipole acoustic wave is generated by the transducer.",4782910
248,84499,1980s,"A TTL to CMOS buffer includes first and second field effect transistors of opposite conductivity types connected to form an inverter. The main current conducting path of a third transistor is connected in series with the current conducting paths of the first and second transistors. The control terminal of the third transistor is connected to a power supply. In a preferred embodiment, a bipolar transistor is connected between the output of the inverter circuit and the buffer output. The bipolar transistor may be a common parasitic device produced in conjunction with the CMOS circuits. This transistor offers a degree of temperature compensation to the buffer circuit output.",4717847
250,80364,1980s,"A process for cleaving boules of single crystal materials such as silicon or germanium into thin wafers. The process comprises creating an inward-directed radial stress concentration completely around a boule which intersects its crystallographic plane of minimum bond strength; and subsequently, triggering the cleavage of a thin wafer from the boule via a shock wave applied normal to its crystallographic plane of minimum bond strength.",4244348
252,356838,1980s,"In multi-textured cookies having a soft and moist center containing a humectant and a firm outer layer, the outer layer contains a hard vegetable fat having a solid fat index of at least 40 percent at 70.degree. F.",4840803
284,432654,1980s,"There is disclosed a method for the preparation of a homogeneous, physically stable dispersion of colloidal metal particles of a transition metal selected from the group consisting of nickel, palladium and platinum having a size in the range of from about 10 Angstrom units to about 200 Angstrom units. The method comprises preparing a solution of a functional polymer in an inert solvent, and incrementally adding thereto a transition metal precursor, at a temperature at which the transition metal precursor will become bound to the polymer and thermally decompose to produce elemental transition metal particles, the process being carried out in an inert atmosphere. Such dispersions may be used per se as catalysts, or may be used for the preparation of supported colloidal transition metal catalysts. The dispersions may also be used for the preparation of ablative optical recording media.",4252677
288,198245,1980s,"Surfaces of articles formed from (1) normally solid polymers of aliphatic mono-1-olefins and (2) elastomeric and resinous polymers of conjugated dienes and vinyl-substituted aromatic compounds are conditioned by contact with a fluorine-containing gas under conditions and for a period of time sufficient to render the surface receptive to adhesives, coatings, paints, inks, decorations, and the like. The fluorine-containing gas can be pure or admixed with up to about 99 volume percent inert gas.",4296151
383,433119,1980s,"The present invention is a speech module including a central processing unit, a memory, a continuously variable slope delta demodulator, and related filter, amplifier, and speaker circuits connected to a master controller in a reproduction machine. Upon sensing certain machine conditions, the master controller provides suitable signals to the voice response module. In response, the voice response module locates starting addresses and lengths of words and phrases and reproduces the appropriate response. In one embodiment, the speech module is connected to a shared line communication system.",4375329
405,395219,1980s,"This invention relates to an improved process for the preparation of squaraine compositions which comprises reacting an alkyl squarate, with an aniline, in the presence of an optional acid catalyst and an aliphatic alcohol.",4524219
421,199589,1980s,"Ammonium dialkylaminoalkyl (thiocarbonyldithio) alkanoates, alkali metal dialkylaminoalkyl (thiocarbonyldithio) alkanoates, their use as flotation agents, and a process for the production of these novel compositions are disclosed. N,N-dialkylaminoalkyl mercaptoalkanoate, its use as an intermediate in the production of the novel ammonium dialkylaminoalkyl (thiocarbonyldithio) alkanoates and alkali metal dialkylaminoalkyl (thiocarbonyldithio) alkanoates, and a process for the production of this novel composition are also disclosed.",4640789
422,84204,1980s,"In typical error correction coding techniques for use in multilevel signalling schemes, such as M-level QAM signalling, the full data stream is encoded. In order to eliminate the need for such extensive coding while still allowing for accurate decisions as to the received data, the present system and method provide techniques for only encoding the lower significance bits of the multi-bit signal. The more significant bits are left uncoded. Accurate decisions are still possible in the majority of cases with this technique inasmuch as the most likely errors in uncoded transmission occur in deciding between adjacent received signal levels. These errors are eliminated by encoding the lower significance bits without the need for encoding the more significant bits.",4346473
430,273332,1980s,Roll fuser apparatus and cleaning structure therefor. The cleaning structure is characterized by the provision of a pad supported in rubbing contact with the backup roll of the roll fuser apparatus. The pad is constructed so that approximately 75% of its total volume is made of intercommunicated voids so that toner removed from the backup roll can move freely therethrough and not agglomerate at the surface of the pad as in the case of prior art devices. In one embodiment of the invention the back surface of the pad is unobstructed to allow toner to actually move out of the pad thereby increasing the useful cleaning life of the pad.,4324482
439,558396,1980s,Organic compound mixtures enriched in meta-isopropylphenol are prepared by alkylating phenol with isopropanol or propylene to form mixtures of isopropylphenol isomers and by subsequently selectively cracking the para-isopropylphenol isomer from such a mixture over a ZSM-5 type cracking catalyst. Concentration of the para-isomer is thereby selectively reduced relative to the meta-isomer and the meta-isopropylphenol isomer can be further separated from the remaining mixture by fractionation procedures.,4405818
452,198780,1980s,"A novel composition and process are provided for cleaning metallic surfaces. The aqueous cleaning composition comprises an effective amount of at least one thiomorpholine compound represented by the formula: ##STR1## where R.sub.1, R.sub.2, R.sub.3, R.sub.4, R.sub.5, R.sub.6, R.sub.7, and R.sub.8 can be hydrogen or any hydrocarbyl radical having from 1 to 3 carbon atoms and where the total number of carbon atoms in R.sub.1, R.sub.2, R.sub.3, R.sub.4, R.sub.5, R.sub.6, R.sub.7, and R.sub.8 not to exceed about 10 carbon atoms; and where R.sub.9 is hydrogen or any hydrocarbyl radical having from 1 to 8 carbon atoms, metal hydroxide, and water soluble surfactant.",4421667
459,302493,1980s,"An apparatus to control the air flow in an automobile comprises a box which is provided beneath a seat and has openings respectively formed in the upper wall and the front wall thereof, a fan which is mounted to the rear wall of the box and of which the rotation can be reversed, a switching plate which is provided in the box in such a way as to selectively close the opening formed in the upper wall and the opening formed in the front wall, and a means to drive the switching plate so as to selectively open either one of said openings in synchronism with the switching of the rotation of the fan, thereby the air is forcibly upwardly passed through the seat or the hot air from a heater or the cold air from a cooler provided in front of the seat is forcibly sent rearwardly through said box.",4259896
507,424922,1980s,"In a ventilated cigarette making system the tipping paper is perforated before assembly of the cigarettes using a spark perforator which is controlled by a feedback arrangement, in response to the resultant air permeability of the finished cigarettes, or the permeability of the tipping paper as monitored before assembly. Preferably the testing of the finished cigarettes is done in a modified Molins ""CID 4"" cigarette testing device. The averaged test signal is used to control the frequency of power supply to the spark perforator, whose electrodes are loaded with capacitors so that the change in frequency results in a change in the current flow through the electrodes, and thus the size of the holes produced.",4219727
535,434071,1980s,"A multi-magnification, short focal length imaging system is enabled by providing a lens assembly having a plurality of short focal length lens arrays formed within a unitary plastic or glass body. The lens arrays are composed of a plurality of lenslets formed by either a masking/radiation heat treating process when using a photosensitive glass or by plastic injection molding techniques. The lenslets are formed with the appropriate spacing parameters and lens axis tilt orientation to enable projection of a reduced or enlarged image of a document at an image plane. The lens assembly is translated and/or rotated in response to magnification reproduction values selected by an operator so as to place the appropriate lens array into an optical projection path.",4678311
546,84514,1980s,"A test enabling circuit for actuating specific testing circuitry contained within a programmable device, whereby the test enabling circuit and a portion of the normal operational circuits of the device share a common input pin. Because of the dual functionality of the common input pin, the test enabling circuit is designed to respond to a specified test signal, which is either of an opposing polarity, or of a higher magnitude of the same polarity with respect to the normal operational signal. The enabling circuit includes several IGFET devices arranged such that the noise margin of the enabling circuit may be adapted for accommodating varying environments of noise. ESD circuitry is included to protect the testing and test enabling circuits against electrostatic discharge.",4733168
547,421522,1980s,"An oriented electrically conductive polypyrrole article having a degree of orientation of at least 40% in at least one direction; an electrically conductive polypyrrole article having an electrical conductivity of at least 100 S/cm.; a process for producing an electrically conductive polypyrrole having improved electrical conductivity and stretchability, which comprises electrolytically polymerizing pyrrole and/or a pyrrole derivative in an electrolytic solution comprising an electrolyte and a solvent, said polymerization being carried out at a temperature of 0.degree. to -50.degree. C.; and a process for producing an electrically conductive polypyrrole article having improved electrical conductivity, which comprises stretching an electrically conductive polypyrrole article in at least one direction.",4585695
552,4910,1980s,"A method for manufacturing a railway wheel with a base material, a more wear-resistant layer at the part of the flange facing the wheel tread, and a layer in the tread which gives a high friction between wheel and rail which is relatively independent of the weather. The method is characterized in that a prefabricated component is manufactured from members of the base material and from the more wear-resistant materials, respectively, which members are given such a shape as to fit closely against each other, and which, after turning or other machining and cleaning from oxide and other impurities, are put together and welded together at the outer surfaces of the component in such a way that admission of air between said members is prevented, the component thereafter being hot-worked to form a finished or near finished wheel blank with a good bond between the different members defining the tread and/or flange regions thereof.",4638540
626,84319,1980s,"A multitone DPSK modulator produces a composite analog signal in which the phases of the tones included within the composite analog signal represent data. The modulator uses digital circuitry to synthesize a plurality of analog tones simultaneously. On a periodic basis, input digital data controls the amount by which the phase of each of the component tones is shifted. Synthesis is accomplished by periodically retrieving signals from a sine table and applying the retrieved signals to a D/A converter. A composite analog signal is sythesized by summing a retrieved signal from the sine table for each of the component tones during each sampling period. The number of tones included within the composite analog signal and the frequency, amplitude and starting phases of each of the component tones may be programmed and thus readily changed.",4511862
636,65991,1980s,"A marine fender comprises a fender body and a thick elastic laminated body. The elastic laminated body is composed of an outer cover, a light elastic member filled in the outer cover and a rigid plate embedded in the bottom of the outer cover.",4848969
669,273542,1980s,An ink jet printing machine in which adjacent nozzles are isolated from one another to prevent energization of a nozzle other than a selected nozzle.,4377814
672,80790,1980s,Apparatus and method for producing semiconductor ribbon directly from the molten state by contact with a moving chill surface wherein the chill surface has longitudinal grooves near its outer edges to define ribbon width and improve smoothness of ribbon edges.,4517049
679,8658,1980s,"Apparatus and methods for the calculation of addresses of data items in digital computer systems which perform call and return operations. In the digital computer systems of the invention, items of data called immediate names represent other items of data and specify how the address of the represented item is to be calculated. Certain immediate names represent items of data whose addresses are calculated using linkage pointers. Such an immediate name specifies the linkage pointer to be used in the calculation. Linkage pointers are pointers whose values remain unchanged during an execution of a procedure. When the digital computer system's processor executes the call operation, the processor places the addresses represented by the linkage pointers in internal registers. When the processor receives an immediate name representing an item whose address is calculated using a linkage pointer, the processor uses the address in the internal registers which is represented by the linkage pointer specified in the immediate name. Also disclosed are apparatus for performing a call operation wherein the call instructions include a neighborhood call instruction which contains a literal value which specifies the offset of the procedure being called from the neighborhood call instruction and apparatus for use in a system having object-based addressing which allows the use of short pointers to represent addresses in the same object as the one containing the pointer.",4503492
681,558385,1980s,A suspension of catalyst and gasiform material is separated by a catalyst particle concentrating means which discharges the catalyst into a steam stripping zone and transmits the separated gasiform material to a cyclone separator by means of a restricted passageway which minimizes the time the gasiform material is exposed to the catalytic reaction product temperature.,4404095
718,433379,1980s,"An injection laser includes a plurality of contiguous semiconductor layers deposited on a substrate, one of the layers being an active layer and having a lower bandgap and higher index of refraction relative to at least cladding layers immediately adjacent to the active layer. The active layer is provided with an active region to permit carrier recombination and support radiation propagating under lasing conditions in a optical waveguide cavity established between transverse end facets of the laser. Means is incorporated on and into the surface of the laser to form a current confinement region to the active region. The extremities of the active region fall short of the end facets so that the regions of the active layer between the active region function as a passive waveguide for the propagating radiation in the optical cavity. The laser is characterized in that the active region is an active region strip having a length less than the total length of both of the passive waveguide regions formed at the ends of the active region strip. More than one laser cavity may be formed on the same substrate so that several active regions are formed with separate current confinement regions forming a laser array device. Means are formed on the surface of the device to render the surface thereof electrically insulating except for the separate current confinement regions. Electrical contact means are formed on this insulating surface means to independently supply current to each of the current confinement regions without interfering with the electrical and optical operation of other array lasers. The employment of short active regions and consequentially the presence of the separate current confinement regions on the insulating surface of the laser array device permits the optical cavities of adjacent laser cavities in the array to be fabricated spatially closer to one another than previously possible while permitting independent electrical addressing of each the laser active regions without interfering with the operation of other array lasers. The active regions of adjacent array lasers may be offset relative to each other so that the packing density of lasers in the array is increased.",4461007
729,274579,1980s,"A method and apparatus for fabricating long full width scanning arrays for reading or writing images. For this purpose, smaller scanning arrays are assembled in abutting end-to-end relationship, each of the smaller arrays being provided with a pair of V-shaped locating grooves in the face thereof. An aligning tool having predisposed pin-like projections insertable into the locating grooves on the smaller scanning arrays upon assembly of the smaller arrays with the aligning tool is used to mate a series of the smaller arrays in end-to-end abutting relationship, there being discretely located vacuum ports in the aligning tool to draw the smaller arrays into tight face-to-face contact with the tool. A suitable base is then affixed to the aligned arrays and the aligning tool withdrawn.",4712018
741,44273,1980s,"A waste material incineration system (10) and method of combusting waste material is provided wherein system (10) includes a longitudinally directed furnace (14) having a first combustion zone (42) and a second combustion zone (44). Waste material or other fuel is inserted into furnace (14) through a furnace inlet (26) and passes by gravity assist into a vortexing pattern dependent upon the geometrical contouring of the internal walls of furnace (14) in combination with preheating air conduits (86, 88 and 90). Subsequent to vortexing in the first combusion zone (42), the substantially fully combusted gases are transported through second combustion zone (44) for insert into a heat exchanger unit (12) and then passes to a scrubber unit (34) where the exhausted gases are further cleansed to expulsion of the cleansed exhaust gases through an exhaust stack (16) to the ambient atmosphere.",4440098
763,197943,1980s,"Fatty acids are reacted with aminoalkylalkanolamines to form amide amine alcohols, multiamide-alcohols, or multiamide-esters that have good detergent properties in fuels and lubricants. In an embodiment of the invention reaction products in which all of the reactant nitrogen has not been amidated are further reacted with arylsulfonic acid to provide more water tolerant products.",4230588
791,558196,1980s,"Waterflooding process for the recovery of oil from a subterranean formation in which at least a portion of the injected water preferably comprises a preferentially oil-soluble alcohol, a sulfobetaine, a quaternary ammonium compound containing at least one long chain hydrocarbyl group and a quaternary ammonium compound with short chain hydrocarbyl groups. This formulation serves both as a surfactant and a mobility control agent.",4370243
798,396336,1980s,"A liquid crystal birefringent MTF filter is permanently positioned between lens and array of an image input scanner to reduce image modulation at frequencies where moire occurs, with a source of electric potential and a control switch for selectively applying the potential and switching the filter to or from a filtering state. In a variation of the first embodiment, a two-stage MTF filter is used. In a second embodiment, a tunable liquid crystal scattering MTF filter is combined with a full width sensor array.",4877310
819,395005,1980s,"An improved conductive single component magnetic dry toner composition for use in developing images in electronic printing systems of a conductivity of from 10.sup.-6 to 10.sup.-8 (ohms/cm).sup.-1, and a fusing temperature of from about 95 degrees Centigrade to about 130 degrees Centigrade, and comprised of a magnetic material present in an amount of from about 40 percent by weight to about 80 percent by weight, and from about 20 percent by weight to about 60 percent by weight of a polyester resin, comprised of the polymeric esterification product of a dicarboxylic acid and a diol comprising a diphenol of the formula: ##STR1## wherein R is selected from substituted and unsubstituted alkylene radicals containing from about 2 to about 12 carbon atoms, alkylidene radicals containing from 1 to about 12 carbon atoms, and cycloclkylidene radicals containing from about 3 to about 12 carbon atoms; R' and R"" are selected from substituted and unsubstituted alkylene radicals containing from about 2 to about 12 carbon atoms, alkylene arylene radicals containing from about 8 to about 12 carbon atoms and arylene radicals; X and X' are selected from hydrogen or alkyl radicals containing from 1 to about 4 carbon atoms; and each n is a number of from 0 (zero) to 4, a conductive carbon black present in an amount of from about 0.5 percent to about 4 percent, which carbon black is adhered to or embedded in the surface of the polyester magnetic mixture.",4451837
834,432563,1980s,"An ink jet printing system is disclosed of the type wherein selected droplets from a continuous stream of droplets are charged and deflected toward a target. The droplet placement on the target is determined by the amount of charge. The system uses an electrohydrodynamic (EHD) exciter to generate the continuous stream. The exciter is composed of one, two, three or more pump electrodes of a length equal to about one half the droplet spacing. The multiple pump electrode embodiments are spaced at intervals of multiples of about one half the droplet spacing or wavelength.",4220958
887,558452,1980s,"An apparatus and method for forming one or more pleats in a continuously advancing sheet of indeterminate length are provided. The apparatus includes a first roll, over which the sheet passes while a streak of adhesive is laid upon a selected strip of the sheet, and a composite roll, to which the sheet passes as a reach under selectively varied tension. The composite roll includes a parallel roll and an inclined roll which is inclined at a pleat angle to the parallel roll and is driven by rolling contact with the parallel roll while passing through a pinch zone at the apex of the pleat angle which is 0.25.degree. to 5.degree., preferably about 1.5.degree.. The periphery of the inclined roll may vary from a right circular cylinder to a right circular cone with its peripheral surface at a bevel angle to the circular side thereof. The bevel angle is preferably one half of the pleat angle. The pleat is formed by gathering the strip into the circularly converging gap between the inclined and parallel rolls and then lightly compressing the pleat between the sides of a circumannular recess between the rolls.",4419087
896,77360,1980s,".alpha.-Substituted ureido-benzylpenicillanic acids of the formula ##STR1## (wherein R.sup.1, X and Y are as defined in the description) and pharmaceutically acceptable salts thereof, and a bactericidal composition comprising the above penicillanic acid or the salt and a pharmaceutically acceptable carrier are disclosed. The acids and salts thereof have high antibacterial activities against Gram-positive and Gram-negative bacteria, particularly those of the genus Pseudomonas.",4355038
934,199650,1980s,"Catalyst supports, catalysts, method for the preparation thereof, and dimerization processes therewith are provided. Catalyst supports consist essentially of alkaline earth aluminate-containing potassium carbonate with at least one carbonaceous compound and having a crush strength of at least 5 pounds. Catalysts consist essentially of at least one elemental alkali metal deposited on the novel catalyst supports. Optionally, the catalysts further contain at least one promoter selected from the group consisting of elemental copper, elemental cobalt, and finely divided stainless steel.",4661466
943,51587,1980s,"The acoustic transmission characteristics of a sound field, such as in the passenger compartment of a vehicle, are measured by placing microphones at the positions of ears of a dummy mannequin having a sound absorbing characteristic similar to that of a clothed adult human. The transmission characteristics are then corrected, such as with an automatic graphic equalizer, to provide optimized listening conditions inside the sound field for an actual listener. The use of the invention results in a listener's perception of completely natural sound.",4739513
972,414510,1980s,,D268345
974,559053,1980s,"Partially borated etherdiamine-acyl sarcosines have been found to be effective multifunctional additives when added to lubricants or liquid fuels. Some of its properties include antirust, antioxidant and friction reducing activities.",4532056
987,169480,1980s,Two:One layered silicate flocs with homogeneously intermixed polymers and a method for the compositions's preparation is described. Preferred embodiment include co-flocculated homogeneously intermixed polymer and 2:1 layered silicate. The materials are prepared by contacting a co-dispersion of polymer and silicate with a cationic flocculant.,4775586
1016,396019,1980s,"Photoresponsive imaging members comprised of hole transporting polysilylene compounds with a single peak molecular weight distribution, and wherein the polysilylenes selected have excluded therefrom molecular weight fractions of less than 50,000 thereby enabling, for example, the resulting imaging members to be substantially resistant to liquid ink developer compositions for an extended number of imaging cycles when these members are incorporated into electrostatographic imaging devices.",4772525
1037,351883,1980s,A safety pneumatic tire which can run under its punctured condition. The tire is provided between a sidewall reinforcing layer and a tread wall reinforcing layer with a reduced thickness portion which can easily susceptible to bending deformation so as to notify a driver by his bodily sensation that the tire is punctured.,4215735
1079,559958,1980s,"A hosewall terminating apparatus for a streamer section utilizing a load bearing flexible hosewall includes an inner sleeve having radially extending outward protrusions and an outer sleeve having radially extending inward protrusions. With the inner sleeve positioned within the outer sleeve, the radial distance between ends of these protrusions are spaced-apart to provide a gap for the position of the flexible hosewall of the streamer section. The hosewall of the streamer section is secured between these protrusions and the sleeve surfaces when the outer sleeve is reduced in diameter by swaging.",4759001
1086,537360,1980s,Apparatus for use in manufacturing color picture tubes to mount a shadow mask within the tube panel to enable repeated removal and replacement. The panel is placed into position overlying the shadow mask so that the inwardly-directed pins on the interior of the panel are in general vertical registry with the apertured spring elements about the outer periphery of the shadow mask. An alignment stand is provided for each spring element to vertically align each spring element with its corresponding panel pin. Each alignment stand includes a dummy pin which may be inserted into the aperture of the spring element of the shadow mask and a rod arm having a guide groove which may be raised so that at its upper limit position the arm provides guide grooves in which the inwardly projecting pins of the panel may be engaged. Clamping elements with upwardly facing V-shaped grooves are provided to engage over the dummy pin and be displaced toward the mask so as to deflect the spring members inwardly to disengage the dummy pins which are then retracted. The mask with the spring elements deflected inwardly is then raised until the V-shaped groove of the clamp members engage the panel pin so that the clamp may be withdrawn allowing the spring members to engage the panel pins to mount the mask in the panel.,4768986
1118,559757,1980s,"This invention provides a high molecular weight copolymer blend of polyethylene and poly(para-methylstyrene) in the absence of any compatibilizing agent. Preferably, the polyethylene is linear low density polyethylene.",4689367
1126,268391,1980s,"The specification discloses a completely outside sharpenable saw chain of the chisel type in which top plate portions are sharpened on their tops and in which side cutter portions are sharpened on their outer sides. The chain has allochiral cutter teeth each having a top plate portion sloping rearwardly and downwardly and joined along one side edge to a side slitter plate portion sloping rearwardly and inwardly, a bent over shank portion, a body portion and a depth gauge portion, the top plate portion, the side slitter plate portion and the shank portion being generally C-shaped. The top plate portion has at its top a sharpenable surface forming a top cutting edge which joins a corner chisel point from which extends downwardly and rearwardly a side slitting edge formed by a side plate sharpenable surface. The top plate portions are sharpened employing an attachment securable to the nose end of a saw bar around which the saw chain passes, the attachment carrying a flexible strip of abrasive material held against the saw chain top plate portions as a result of flexure of said strip. The attachment further includes a pair of side elements having abrasive surfaces spring biased against the side cutter portions.",4530258
1171,558013,1980s,"A method of logging a wellbore to identify oil, gas and water zones in a hydrocarbon-bearing formation that is characterized by acoustic velocities which are maximum when saturated with oil, minimum when saturated with water and intermediate when saturated with gas. The formation is logged with a sonic logging system utilizing a frequency within the range of 0.1 to 10 KHz and logged with a lithologic logging system to account for variations in lithology on the sonic log. Thereafter the sonic log is compared with the known acoustic velocity characteristic of the hydrocarbon-bearing formation to identify the oil, gas and water zones therein.",4312049
1212,274699,1980s,"Disclosed are unsymmetrical squaraine compounds of the following formula ##STR1## wherein R.sub.1, R.sub.2, R.sub.3 and R.sub.4 are independently selected from the group consisting of alkyl, aryl, heterocyclic, benzyl, and halobenzyl; and X.sub.1, X.sub.2 and X.sub.3 are independently selected from the group consisting of hydrogen, alkyl, halogen, carboxy, and hydroxy; and photoresponsive imaging members having incorporated therein the aforementioned squaraine compounds.",4751327
1240,352351,1980s,"Heavy duty pneumatic tires having lug grooves at a tire tread surface are disclosed, wherein a width of a tread portion from a tire equator to one of tread edges which tread portion is to be located on a wheel-mounted outer side is larger than that of the other tread portion from the equator to the other tread edge. When contours of the tread portions located on the opposite sides of the tire equator are approximated by two respective circular arcs, the radius of curvature of the wider tread portion is larger than that of the narrower tread portion. A depth of grooves at the shoulder portion on the wider tread portion which depth is expressed by a distance between the tread edge and the bottom of the lug grooves is made smaller than that of the narrower tread portion.",4830077
1243,199444,1980s,"Hydrocarbon liquid, such as propylene, is charged (dry) from manufacture by way of a bed of desiccant into a salt (brine-containing) cavern for wet storage, thusly regenerating the wet desiccant having been used to dry wet hydrocarbon yielded from the cavern as product.",4592677
1264,51696,1980s,"An optical disc reading apparatus having a reduced overall height and simplified structure. The disc drive motor is mounted with its output shaft extending downward. A turntable is fixed to the output shaft below the body of the motor. A disc carriage is mounted so as to be movable only in a horizontal direction towards and away from the turntable, and a clamper clamps the disc once it has been conveyed by the disc carriage to the playing position on the turntable. A pickup is mounted below the turntable on the side of a loaded disc opposite both the motor and turntable. At least the objective lens of the optical pickup is lowered away from the turntable when the disc is being loaded to allow free movement of the disc toward the turntable.",4831612
1269,571456,1980s,A prosthesis having a porous polymeric coating over a non-porous polymeric substrate is disclosed. The porous polymeric coating is constructed by forming a mass of randomly arranged fibers of polymeric material in contact with a non-porous polymeric substrate of a compatible material. The entire prosthesis and mass of fibers is enclosed in a mold with interior dimensions conforming to the intended shape of the article. The mold is then subjected to an elevated temperature for sufficient time to sinter the fibers of the mass to each other and to the underlying substrate yet leave a pore volume of about 50%. The preformed material is ultra-high molecular weight polyethylene. Preferred sintering conditions are also disclosed.,4454612
1310,390217,1980s,"A novel class of acyl-derivatives of carnitine is disclosed wherein the acyl radical is either the radical of unsaturated organic acids (typically, acrylic acid) or the radical of saturated organic acids substituted with tert-alkyl, cycloalkyl, cycloalkenyl, alkoxyl, heterocyclic and carboalkoxylradicals, or with aldehyde or hydroxy groups. These acyl-derivatives of carnitine are useful therapeutical agents in the treatment of cardiac disorders, hyperlipidaemias and hyperlipoproteinaemias.",4859698
