,word1,word1_tag,word2,word2_tag,simi
121,flower,n,plant,n,44.0
122,fire,n,smoke,n,44.0
123,canine,j,dog,n,44.0
124,bracelet,n,jewelry,n,44.0
125,feline,j,kitty,n,44.0
126,architecture,n,building,n,44.0
127,shop,n,shopping,n,44.0
128,highway,n,traffic,n,44.0
129,lizard,n,reptile,n,44.0
130,music,n,piano,n,44.0
131,strawberry,n,sweet,j,44.0
132,snow,n,winter,n,44.0
133,autumn,n,spring,n,44.0
134,bacon,n,meat,n,44.0
135,raspberry,n,strawberry,n,44.0
136,chipmunk,n,squirrel,n,44.0
137,coast,n,harbor,n,44.0
138,dress,n,skirt,n,44.0
139,sun,n,sunny,j,44.0
140,lily,n,tulip,n,44.0
141,grave,n,gravestone,n,44.0
142,bright,j,sunny,j,44.0
143,dandelion,n,plant,n,44.0
144,light,n,sunlight,n,44.0
145,hill,n,mountain,n,43.0
146,burger,n,food,n,43.0
147,sea,n,shore,n,43.0
148,feather,n,peacock,n,43.0
149,child,n,mother,n,43.0
150,night,n,sunset,n,43.0
151,orange,j,peel,n,43.0
152,subway,n,train,n,43.0
153,camera,n,lens,n,43.0
154,daisy,n,petal,n,43.0
155,aircraft,n,wing,n,43.0
156,bloom,n,flower,n,43.0
157,clothes,n,jacket,n,43.0
158,dinner,n,restaurant,n,43.0
159,swim,v,swimming,n,43.0
160,cemetery,n,gravestone,n,43.0
161,cigarette,n,smoke,n,43.0
162,shirt,n,skirt,n,43.0
163,baby,n,pregnant,j,43.0
164,cherry,n,fruit,n,43.0
165,beef,n,meat,n,43.0
166,blossom,n,daffodil,n,43.0
167,bloom,n,blossom,n,43.0
168,maple,n,oak,n,43.0
169,frost,n,winter,n,43.0
170,colour,n,pink,j,43.0
171,dog,n,poodle,n,43.0
172,lantern,n,light,n,43.0
173,coast,n,sea,n,43.0
174,tunnel,n,underground,j,43.0
175,dog,n,pet,n,43.0
176,hair,n,haircut,n,43.0
177,day,n,sunset,n,43.0
178,bikini,n,swimsuit,n,43.0
179,rail,n,railway,n,43.0
180,art,n,museum,n,43.0
181,painting,n,portrait,n,43.0
182,dress,n,wedding,n,43.0
183,poodle,n,puppy,n,43.0
184,port,n,ship,n,43.0
185,bloom,n,tulip,n,43.0
186,cold,j,winter,n,43.0
187,bakery,n,cake,n,43.0
188,building,n,roof,n,43.0
189,iron,n,steel,n,43.0
190,bird,n,stork,n,43.0
191,lily,n,plant,n,43.0
192,eat,v,food,n,43.0
193,bathroom,n,kitchen,n,43.0
194,jazz,n,music,n,43.0
195,fabric,n,wool,n,43.0
196,aquarium,n,tank,n,43.0
197,fire,n,flame,n,43.0
198,bloom,n,rose,n,43.0
199,leaf,n,nature,n,43.0
200,town,n,village,n,43.0
201,apple,n,orange,j,43.0
202,dawn,n,sunrise,n,43.0
203,engine,n,gasoline,n,43.0
204,oak,n,tree,n,43.0
205,guitar,n,piano,n,43.0
206,chocolate,n,dessert,n,43.0
207,cat,n,paw,n,43.0
208,bird,n,goose,n,43.0
209,blue,j,sky,n,43.0
210,pool,n,swim,v,43.0
211,bracelet,n,necklace,n,42.0
212,fruit,n,salad,n,42.0
213,egg,n,nest,n,42.0
214,boat,n,sailing,n,42.0
215,bird,n,crow,n,42.0
216,bird,n,flamingo,n,42.0
217,day,n,sunshine,n,42.0
218,hockey,n,sport,n,42.0
219,burger,n,eat,v,42.0
220,fruit,n,raspberry,n,42.0
221,lunch,n,sandwich,n,42.0
222,foot,n,toe,n,42.0
223,baby,n,mother,n,42.0
224,amphibian,n,frog,n,42.0
225,burn,v,fire,n,42.0
226,hockey,n,ice,n,42.0
227,cold,j,frozen,j,42.0
228,oak,n,wood,n,42.0
229,photographer,n,photography,n,42.0
230,man,n,woman,n,42.0
231,hair,n,redhead,n,42.0
232,harbor,n,port,n,42.0
233,pug,n,puppy,n,42.0
234,sunrise,n,sunset,n,42.0
235,leather,n,shoe,n,42.0
236,beach,n,shore,n,42.0
237,color,n,red,j,42.0
238,paint,v,painting,n,42.0
239,storm,n,wind,n,42.0
240,color,n,violet,n,42.0
241,rain,n,wet,j,42.0
242,diner,n,eat,v,42.0
243,bed,n,bedroom,n,42.0
244,guitar,n,musician,n,42.0
245,petal,n,rose,n,42.0
246,rail,n,subway,n,42.0
247,holiday,n,vacation,n,42.0
248,bed,n,sleep,v,42.0
249,cigarette,n,smoking,n,42.0
250,airplane,n,plane,n,42.0
251,daffodil,n,plant,n,42.0
252,diner,n,kitchen,n,42.0
253,coin,n,silver,n,42.0
254,cake,n,chocolate,n,42.0
255,evening,n,night,n,42.0
256,race,n,racing,n,42.0
257,flight,n,fly,v,42.0
258,face,n,lip,n,42.0
259,berry,n,raspberry,n,42.0
260,lamp,n,light,n,42.0
261,bird,n,nest,n,42.0
262,mother,n,pregnant,j,42.0
263,animal,n,pet,n,42.0
264,butterfly,n,insect,n,42.0
265,sky,n,sunrise,n,42.0
266,canine,j,husky,n,42.0
267,food,n,meat,n,42.0
268,cloud,n,sky,n,42.0
269,crow,n,feather,n,42.0
270,blossom,n,flower,n,42.0
271,splash,n,swim,v,42.0
272,band,n,musician,n,42.0
273,cactus,n,plant,n,42.0
274,eagle,n,hawk,n,42.0
275,harbour,n,sea,n,42.0
276,flower,n,foliage,n,42.0
277,red,j,violet,n,42.0
278,music,n,sing,v,42.0
279,breakfast,n,morning,n,42.0
280,cafe,n,restaurant,n,42.0
281,beach,n,coast,n,42.0
282,puddle,n,splash,n,42.0
283,bird,n,pelican,n,42.0
284,clothes,n,sock,n,42.0
285,amphibian,n,lizard,n,41.0
286,daughter,n,son,n,41.0
287,car,n,motor,n,41.0
288,amphibian,n,reptile,n,41.0
289,day,n,morning,n,41.0
290,aircraft,n,fly,v,41.0
291,airplane,n,airport,n,41.0
292,metro,n,train,n,41.0
293,band,n,music,n,41.0
294,shadow,n,sunlight,n,41.0
295,night,n,sleep,v,41.0
296,salad,n,soup,n,41.0
297,porch,n,roof,n,41.0
298,eye,n,tear,n,41.0
299,colour,n,rainbow,n,41.0
300,berry,n,fruit,n,41.0
301,red,j,yellow,j,41.0
302,sock,n,stocking,n,41.0
303,flamingo,n,hummingbird,n,41.0
304,tree,n,twig,n,41.0
305,kiss,n,lip,n,41.0
306,burger,n,sandwich,n,41.0
307,pregnant,j,woman,n,41.0
308,rain,n,weather,n,41.0
309,dinner,n,eat,v,41.0
310,feather,n,hawk,n,41.0
311,animal,n,zoo,n,41.0
312,duck,n,mallard,n,41.0
313,mountain,n,valley,n,41.0
314,beach,n,harbour,n,41.0
315,musician,n,rock,n,41.0
316,band,n,guitar,n,41.0
317,car,n,garage,n,41.0
318,foot,n,leg,n,41.0
319,sky,n,sunlight,n,41.0
320,mist,n,rain,n,41.0
321,mother,n,son,n,41.0
322,airplane,n,wing,n,41.0
323,colour,n,red,j,41.0
324,music,n,musician,n,41.0
325,bay,n,beach,n,41.0
326,blonde,j,redhead,n,41.0
327,petal,n,plant,n,41.0
328,kitchen,n,room,n,41.0
329,lingerie,n,sexy,j,41.0
330,automobile,n,parking,n,41.0
331,bar,n,restaurant,n,41.0
332,bedroom,n,room,n,41.0
333,bus,n,taxi,n,41.0
334,fun,n,happy,j,41.0
335,station,n,train,n,41.0
336,pelican,n,stork,n,41.0
337,black,j,grey,j,41.0
338,orange,j,yellow,j,41.0
339,foliage,n,petal,n,41.0
340,park,n,parking,n,41.0
341,lip,n,tongue,n,41.0
342,fog,n,misty,j,41.0
343,canine,j,poodle,n,41.0
344,bath,n,wash,v,41.0
345,foliage,n,tree,n,41.0
346,panorama,n,view,n,41.0
347,bloom,n,daisy,n,41.0
348,escalator,n,stair,n,41.0
349,petal,n,tulip,n,41.0
350,fishing,n,sea,n,41.0
351,beef,n,cattle,n,41.0
352,noodle,n,rice,n,41.0
353,bird,n,parrot,n,41.0
354,fruit,n,orange,j,41.0
355,mural,n,painting,n,41.0
356,airport,n,flight,n,41.0
357,shopping,n,store,n,41.0
358,summer,n,sunny,j,41.0
359,road,n,sidewalk,n,41.0
360,airplane,n,fly,v,41.0
361,guitar,n,music,n,40.0
362,cat,n,whisker,n,40.0
363,family,n,friend,n,40.0
364,bloom,n,petal,n,40.0
365,musician,n,piano,n,40.0
366,dirty,j,wash,v,40.0
367,elephant,n,giraffe,n,40.0
368,puppy,n,terrier,n,40.0
369,breakfast,n,kitchen,n,40.0
370,subway,n,underground,j,40.0
371,sand,n,shore,n,40.0
372,butterfly,n,dragonfly,n,40.0
373,cheetah,n,lion,n,40.0
374,color,n,yellow,j,40.0
375,door,n,lock,v,40.0
376,bright,j,sunlight,n,40.0
377,van,n,vehicle,n,40.0
378,orange,j,red,j,40.0
379,beetle,n,insect,n,40.0
380,kid,n,mom,n,40.0
381,daughter,n,mother,n,40.0
382,child,n,school,n,40.0
383,giraffe,n,zebra,n,40.0
384,harbor,n,harbour,n,40.0
385,lamb,n,sheep,n,40.0
386,heart,n,love,n,40.0
387,lily,n,rose,n,40.0
388,asphalt,n,road,n,40.0
389,morning,n,sunny,j,40.0
390,coast,n,shore,n,40.0
391,sunny,j,sunset,n,40.0
392,nest,n,twig,n,40.0
393,happy,j,smile,n,40.0
394,figure,n,skating,n,40.0
395,rail,n,train,n,40.0
396,door,n,wall,n,40.0
397,dawn,n,sun,n,40.0
398,feather,n,stork,n,40.0
399,morning,n,sunshine,n,40.0
400,building,n,construction,n,40.0
401,cafe,n,coffee,n,40.0
402,bloom,n,bud,n,40.0
403,jacket,n,leather,n,40.0
404,map,n,travel,n,40.0
405,plant,n,seed,n,40.0
406,city,n,metro,n,40.0
407,pebble,n,sand,n,40.0
408,cafe,n,lunch,n,40.0
409,coast,n,harbour,n,40.0
410,dog,n,pug,n,40.0
411,sky,n,sun,n,40.0
412,mallard,n,swan,n,40.0
413,cloud,n,rain,n,40.0
414,sky,n,sunshine,n,40.0
415,frost,n,weather,n,40.0
416,cherry,n,raspberry,n,40.0
417,downtown,j,street,n,40.0
418,bloom,n,dandelion,n,40.0
419,dragonfly,n,insect,n,40.0
420,bottle,n,wine,n,40.0
421,feel,v,happy,j,40.0
422,railway,n,station,n,40.0
423,beach,n,swimming,n,40.0
424,cafe,n,diner,n,40.0
425,cafe,n,pub,n,40.0
426,building,n,tall,j,40.0
427,burger,n,meat,n,40.0
428,gold,n,silver,n,40.0
429,summer,n,weather,n,40.0
430,military,j,soldier,n,40.0
431,cemetery,n,grave,n,40.0
432,pizza,n,restaurant,n,39.0
433,bright,j,colour,n,39.0
434,canine,j,paw,n,39.0
435,swim,v,underwater,j,39.0
436,sea,n,swim,v,39.0
437,pub,n,restaurant,n,39.0
438,day,n,time,n,39.0
439,canine,j,terrier,n,39.0
440,bottle,n,glass,n,39.0
441,bed,n,relax,v,39.0
442,seed,n,sunflower,n,39.0
443,bird,n,owl,n,39.0
444,art,n,sculpture,n,39.0
445,light,n,shade,n,39.0
446,apartment,n,staircase,n,39.0
447,outfit,n,sock,n,39.0
448,carrot,n,potato,n,39.0
449,lizard,n,snake,n,39.0
450,city,n,sidewalk,n,39.0
451,guitar,n,rock,n,39.0
452,brick,n,building,n,39.0
453,eat,v,soup,n,39.0
454,dew,n,misty,j,39.0
455,blue,j,colour,n,39.0
456,dawn,n,morning,n,39.0
457,cooking,n,restaurant,n,39.0
458,bay,n,sea,n,39.0
459,cafe,n,shop,n,39.0
460,floor,n,roof,n,39.0
461,clothes,n,hat,n,39.0
462,marble,n,stone,n,39.0
463,duck,n,goose,n,39.0
464,collection,n,museum,n,39.0
465,happy,j,love,n,39.0
466,bakery,n,shop,n,39.0
467,mist,n,wet,j,39.0
468,blossom,n,petal,n,39.0
469,bright,j,light,n,39.0
470,rice,n,sushi,n,39.0
471,cooking,n,meat,n,39.0
472,day,n,night,n,39.0
473,kiss,n,love,n,39.0
474,stream,n,waterfall,n,39.0
475,interior,n,room,n,39.0
476,surf,n,surfer,n,39.0
477,poodle,n,terrier,n,39.0
478,cold,j,frost,n,39.0
479,city,n,town,n,39.0
480,ocean,n,underwater,j,39.0
481,harbor,n,sailing,n,39.0
482,scenery,n,sunset,n,39.0
483,green,j,violet,n,39.0
484,harbor,n,ship,n,39.0
485,summer,n,sunshine,n,39.0
486,blue,j,grey,j,39.0
487,art,n,graphic,j,39.0
488,lake,n,shore,n,39.0
489,rust,n,rusty,j,39.0
490,architecture,n,design,n,39.0
491,goose,n,swan,n,39.0
492,architecture,n,construction,n,39.0
493,hawk,n,nest,n,39.0
494,carrot,n,salad,n,39.0
495,fruit,n,tomato,n,39.0
496,purple,j,violet,n,39.0
497,misty,j,rain,n,39.0
498,clothes,n,jean,n,39.0
499,bloom,n,daffodil,n,39.0
500,brick,n,construction,n,39.0
501,diner,n,restaurant,n,39.0
502,ceiling,n,roof,n,39.0
503,paint,v,portrait,n,39.0
504,ripple,n,wave,n,39.0
505,beard,n,face,n,39.0
506,apple,n,raspberry,n,39.0
507,fashion,n,outfit,n,39.0
508,downtown,j,skyscraper,n,39.0
509,bud,n,daffodil,n,39.0
510,harbor,n,shore,n,39.0
511,blonde,j,hair,n,39.0
512,kitten,n,paw,n,39.0
513,bay,n,shore,n,39.0
514,shop,n,store,n,39.0
515,gravestone,n,memorial,n,38.0
516,canine,j,pug,n,38.0
517,crow,n,hawk,n,38.0
518,dress,n,outfit,n,38.0
519,city,n,urban,j,38.0
520,bedroom,n,door,n,38.0
521,bus,n,tram,n,38.0
522,spring,n,summer,n,38.0
523,scenery,n,waterfall,n,38.0
524,road,n,traffic,n,38.0
525,hill,n,valley,n,38.0
526,ceiling,n,floor,n,38.0
527,splash,n,water,n,38.0
528,grass,n,weed,n,38.0
529,sunny,j,weather,n,38.0
530,parrot,n,wing,n,38.0
531,daisy,n,violet,n,38.0
532,copper,n,silver,n,38.0
533,baseball,n,hockey,n,38.0
534,pet,n,poodle,n,38.0
535,blossom,n,foliage,n,38.0
536,pink,j,purple,j,38.0
537,grey,j,shade,n,38.0
538,panorama,n,scenery,n,38.0
539,downtown,j,metro,n,38.0
540,beard,n,hair,n,38.0
541,dandelion,n,petal,n,38.0
542,blue,j,violet,n,38.0
543,daisy,n,flower,n,38.0
544,noodle,n,soup,n,38.0
545,pet,n,puppy,n,38.0
546,bud,n,petal,n,38.0
547,ancient,j,ruin,n,38.0
548,eye,n,iris,n,38.0
549,puddle,n,water,n,38.0
550,harbor,n,sea,n,38.0
551,painting,n,sculpture,n,38.0
552,sand,n,sea,n,38.0
553,feline,j,kitten,n,38.0
554,bird,n,swan,n,38.0
555,baseball,n,game,n,38.0
556,colour,n,purple,j,38.0
557,pool,n,splash,n,38.0
558,cattle,n,sheep,n,38.0
559,landscape,n,scenery,n,38.0
560,coin,n,gold,n,38.0
561,boat,n,shore,n,38.0
562,skyscraper,n,tall,j,38.0
563,apple,n,cherry,n,38.0
564,beef,n,chicken,n,38.0
565,hot,j,sunny,j,38.0
566,dessert,n,fruit,n,38.0
567,photographer,n,portrait,n,38.0
568,chicken,n,meat,n,38.0
569,ceiling,n,interior,n,38.0
570,bathroom,n,bedroom,n,38.0
571,hummingbird,n,stork,n,38.0
572,motor,n,vehicle,n,38.0
573,colour,n,grey,j,38.0
574,blue,j,orange,j,38.0
575,dawn,n,dusk,n,38.0
576,building,n,downtown,j,38.0
577,face,n,tear,n,38.0
578,boat,n,harbour,n,38.0
579,cattle,n,farm,n,38.0
580,drip,v,wet,j,38.0
581,brown,j,green,j,38.0
582,bedroom,n,ceiling,n,38.0
583,bread,n,eat,v,38.0
584,dinner,n,evening,n,38.0
585,face,n,smile,n,38.0
586,bride,n,dress,n,38.0
587,stone,n,wall,n,38.0
588,mural,n,paint,v,38.0
589,foliage,n,plant,n,38.0
590,day,n,dusk,n,38.0
591,roof,n,wall,n,38.0
592,cooking,n,food,n,38.0
593,photography,n,portrait,n,38.0
594,bud,n,foliage,n,38.0
595,lily,n,pond,n,37.0
596,harbour,n,shore,n,37.0
597,palm,n,tree,n,37.0
598,bus,n,subway,n,37.0
599,holiday,n,travel,n,37.0
600,skyline,n,view,n,37.0
601,bedroom,n,cottage,n,37.0
602,dinner,n,lunch,n,37.0
603,grave,n,memorial,n,37.0
604,dessert,n,sweet,j,37.0
605,bird,n,insect,n,37.0
606,concert,n,rock,n,37.0
607,mushroom,n,tomato,n,37.0
608,metro,n,railway,n,37.0
609,giraffe,n,zoo,n,37.0
610,railway,n,subway,n,37.0
611,misty,j,weather,n,37.0
612,parrot,n,pelican,n,37.0
613,bedroom,n,sleep,v,37.0
614,autumn,n,summer,n,37.0
615,automobile,n,truck,n,37.0
616,amphibian,n,mammal,n,37.0
617,cemetery,n,memorial,n,37.0
618,orange,j,purple,j,37.0
619,blue,j,color,n,37.0
620,daffodil,n,rose,n,37.0
621,berry,n,seed,n,37.0
622,hummingbird,n,mallard,n,37.0
623,dandelion,n,grass,n,37.0
624,brick,n,concrete,j,37.0
625,costume,n,dress,n,37.0
626,cloud,n,mist,n,37.0
627,sea,n,tropical,j,37.0
628,brown,j,grey,j,37.0
629,bathroom,n,room,n,37.0
630,daisy,n,plant,n,37.0
631,paint,v,picture,n,37.0
632,eye,n,lip,n,37.0
633,autumn,n,winter,n,37.0
634,drip,v,rain,n,37.0
635,horizon,n,sky,n,37.0
636,black,j,blue,j,37.0
637,metro,n,station,n,37.0
638,alley,n,street,n,37.0
639,child,n,family,n,37.0
640,mountain,n,scenery,n,37.0
641,concrete,j,construction,n,37.0
642,mill,n,windmill,n,37.0
643,summer,n,winter,n,37.0
644,plant,n,twig,n,37.0
645,breakfast,n,lunch,n,37.0
646,concrete,j,floor,n,37.0
647,rain,n,sky,n,37.0
648,food,n,frozen,j,37.0
649,moss,n,plant,n,37.0
650,flower,n,spring,n,37.0
651,bird,n,mallard,n,37.0
652,graphic,j,illustration,n,37.0
653,eat,v,fruit,n,37.0
654,ceiling,n,porch,n,37.0
655,river,n,valley,n,37.0
656,fog,n,mist,n,37.0
657,dude,n,guy,n,37.0
658,moon,n,sky,n,37.0
659,bar,n,sushi,n,37.0
660,beauty,n,scenery,n,37.0
661,feather,n,mallard,n,37.0
662,furniture,n,patio,n,37.0
663,light,n,shadow,n,37.0
664,bay,n,harbour,n,37.0
665,wash,v,water,n,37.0
666,flight,n,owl,n,37.0
667,paw,n,whisker,n,37.0
668,costume,n,wig,n,37.0
669,animal,n,giraffe,n,37.0
670,autumn,n,foliage,n,37.0
671,animal,n,cattle,n,37.0
672,building,n,skyscraper,n,37.0
673,ice,n,skating,n,37.0
674,meat,n,potato,n,37.0
675,bud,n,twig,n,37.0
676,knit,v,stitch,n,37.0
677,hot,j,sunshine,n,37.0
678,bed,n,room,n,37.0
679,music,n,rock,n,37.0
680,cooking,n,rice,n,37.0
681,berry,n,cherry,n,37.0
682,piano,n,play,v,37.0
683,flower,n,lily,n,37.0
684,cherry,n,strawberry,n,37.0
685,clothes,n,skirt,n,37.0
686,art,n,painting,n,37.0
687,bird,n,gull,n,37.0
688,spiral,n,staircase,n,37.0
689,paw,n,pet,n,37.0
690,feather,n,nest,n,37.0
691,feather,n,owl,n,37.0
692,blossom,n,cherry,n,37.0
693,goat,n,sheep,n,37.0
694,green,j,pink,j,37.0
695,foliage,n,garden,n,37.0
696,dog,n,husky,n,37.0
697,feather,n,hummingbird,n,37.0
698,sunshine,n,weather,n,37.0
699,snow,n,weather,n,37.0
700,surfer,n,wave,n,37.0
701,breakfast,n,dinner,n,37.0
702,shoe,n,toe,n,37.0
703,band,n,play,v,37.0
704,coffee,n,mug,n,37.0
705,brick,n,wall,n,37.0
706,fishing,n,sailing,n,37.0
707,grey,j,white,j,37.0
708,orange,j,strawberry,n,37.0
709,color,n,purple,j,37.0
710,blossom,n,daisy,n,37.0
711,hawk,n,owl,n,37.0
712,exhibition,n,photography,n,37.0
713,morning,n,night,n,37.0
714,band,n,concert,n,37.0
715,dress,n,shirt,n,37.0
716,river,n,waterfall,n,37.0
717,ceramic,j,tile,n,36.0
718,cloud,n,droplet,n,36.0
719,exhibition,n,sculpture,n,36.0
720,oak,n,twig,n,36.0
721,movie,n,television,n,36.0
722,butterfly,n,hummingbird,n,36.0
723,daisy,n,grass,n,36.0
724,floor,n,marble,n,36.0
725,canyon,n,river,n,36.0
726,decoration,n,interior,n,36.0
727,flamingo,n,stork,n,36.0
728,bear,v,mother,n,36.0
729,moon,n,sun,n,36.0
730,musician,n,sing,v,36.0
731,green,j,red,j,36.0
732,purple,j,white,j,36.0
733,canine,j,pet,n,36.0
734,morning,n,sleep,v,36.0
735,weather,n,winter,n,36.0
736,sky,n,sunny,j,36.0
737,jacket,n,sock,n,36.0
738,blue,j,red,j,36.0
739,green,j,grey,j,36.0
740,lily,n,petal,n,36.0
741,blue,j,purple,j,36.0
742,goose,n,mallard,n,36.0
743,hotel,n,restaurant,n,36.0
744,downtown,j,urban,j,36.0
745,jean,n,skirt,n,36.0
746,guy,n,people,n,36.0
747,birthday,n,happy,j,36.0
748,chicken,n,soup,n,36.0
749,fly,v,wing,n,36.0
750,door,n,room,n,36.0
751,skyline,n,skyscraper,n,36.0
752,cheetah,n,giraffe,n,36.0
753,feline,j,pet,n,36.0
754,car,n,parking,n,36.0
755,gull,n,mallard,n,36.0
756,spring,n,winter,n,36.0
757,daffodil,n,spring,n,36.0
758,building,n,skyline,n,36.0
759,salad,n,tomato,n,36.0
760,book,n,write,v,36.0
761,bucket,n,water,n,36.0
762,lady,n,sexy,j,36.0
763,ceiling,n,room,n,36.0
764,puddle,n,rain,n,36.0
765,costume,n,outfit,n,36.0
766,hill,n,scenery,n,36.0
767,bacon,n,chicken,n,36.0
768,dawn,n,night,n,36.0
769,cocktail,n,restaurant,n,36.0
770,daffodil,n,petal,n,36.0
771,canyon,n,valley,n,36.0
772,brick,n,house,n,36.0
773,band,n,rock,n,36.0
774,book,n,illustration,n,36.0
775,desk,n,sit,v,36.0
776,bright,j,sky,n,36.0
777,autumn,n,sunny,j,36.0
778,colour,n,yellow,j,36.0
779,cold,j,weather,n,36.0
780,blue,j,green,j,36.0
781,glitter,v,sunlight,n,36.0
782,drip,v,water,n,36.0
783,day,n,misty,j,36.0
784,food,n,noodle,n,36.0
785,goat,n,milk,n,36.0
786,pink,j,yellow,j,36.0
787,floor,n,interior,n,36.0
788,black,j,purple,j,36.0
789,door,n,window,n,36.0
790,city,n,skyline,n,36.0
791,bear,v,live,v,35.0
792,art,n,work,n,35.0
793,pink,j,violet,n,35.0
794,bath,n,room,n,35.0
795,dew,n,rain,n,35.0
796,boy,n,girl,n,35.0
797,canyon,n,mountain,n,35.0
798,white,j,yellow,j,35.0
799,colour,n,shade,n,35.0
800,banana,n,cherry,n,35.0
801,mammal,n,rodent,n,35.0
802,explosion,n,fire,n,35.0
803,shore,n,swim,v,35.0
804,cloud,n,misty,j,35.0
805,sit,v,stand,v,35.0
806,glitter,v,gold,n,35.0
807,black,j,white,j,35.0
808,light,n,neon,n,35.0
809,machine,n,wash,v,35.0
810,coffee,n,dinner,n,35.0
811,feather,n,flamingo,n,35.0
812,downtown,j,sidewalk,n,35.0
813,cooking,n,eat,v,35.0
814,feline,j,paw,n,35.0
815,crow,n,gull,n,35.0
816,festival,n,music,n,35.0
817,dirt,n,road,n,35.0
818,gull,n,pelican,n,35.0
819,carrot,n,tomato,n,35.0
820,blossom,n,tree,n,35.0
821,restaurant,n,shop,n,35.0
822,cherry,n,grape,n,35.0
823,automobile,n,racing,n,35.0
824,jazz,n,piano,n,35.0
825,hawk,n,pelican,n,35.0
826,baseball,n,play,v,35.0
827,bloom,n,plant,n,35.0
828,ceiling,n,wall,n,35.0
829,beef,n,potato,n,35.0
830,breakfast,n,restaurant,n,35.0
831,black,j,colour,n,35.0
